label,content
1,vghigh levhar🤗🤗🤗🤗
1,Kim guxxam akka attuzumadh gussu adeyehdu rebbi l3avdhis😢😢😢😢😢
1,Bah ouais seg ouliw😂😂
1,###### Allah ysalmak thanmirthim Atas
1,wama ma nughaled ar umezruy nnegh senagh khirik akka de Hannibal jusqu'à les dérnié d'accord
1,wallah ardhassah
1,Bien sûr d cheghel ik mais yelis meden machi desel3a sur commende😒😒
1,Thazwadj ahathh c normal
1,Ayaaaa meskinn rebii yehdi maxla9 vraiment c'est malheureux wlhh 😠😬😢😩😭
1,###### 😂😂😂attan thettnadi fellak
1,.###### mektaghd zik Di lacoul na3am sidati
1,Inchallah atentafed Sinon slamet rassek oulach achou kirohen ya rien a voir di la fac ladgha oussan agi n remdan
1,Tu es malchanceux a gma; rouh ar sheikh chamssou y Reqik; hihihihi
1,###### Blamziya ulach dkas
1,Seg ulim degha😂
1,Steɣzi lεemriiim ❤
1,###### wa9ila outhafhimathe ara ; 3awdasse agrothe amlih
1,Awa ila9 ayhviv
1,Aḥuddu aḥunnu.Nnugi tikti d tlelli;
1,A3ni ifoukakh arsas fouknakh
1,Dmis tefamilt
1,Ighelvikem remdhan waqila
1,Hussagh yisem 😦
1,Tamurtik tugui aketsemah
1,Mo9al ayan atfghan flam wi mdyanan inass kfigh oulach akhedim w salam
1,Aderhem rebbi irgazen d tlawin yemuthen chef thleli ma di bataren n le pouvoir tser athidner w lehsseb yiwen yiwen
1,Waklasen rebi ak yerhem rebbi
1,tikelt is hevssaghd yiwen g evrid inayas i gma rebi izewjek mdr
1,Amiqar youssem a Lynda yevgha ad essayé le sentiment ni adis3ou plusieurs meuf hbibna nighak wigadeni daraw tfamilt 😂😂 khas as narnoun les paraces ni 😂
1,vgayet thalha dharouh anla9vayal
1,Yazra y3ammadh
1,Akhamis our thyefridh ljame3 yetfas amezir
1,Hhhh Safi lokan machi dachuku ithchukedh ttamdakolthik ikitttestin thili dlhaja nidhn 
1,semhas ila3nayak
1,Ben ce mec il a peur que tu face ce qui il a fait déjà psk y3ded akoli dagsent roh at3ached donithim afimanim win ikmihamlen akmikval qken talid lmohim tu fait pas de mal
1,ayghar thhedrem le français ihi ?? yak tha9vaylith sameslayth tha9vorth. ouhederthara as thefransist wakhlas
1,andaaa yvghuu yiliii lmuhimm atass id yettnelfunn i nezraa u Mazal anzarr
1,azul dahmayan awetma eser dliser tughzi laamer adivark rebi
1,Thes3a el hiva
1,😂ittemchavi ugharws nni inm 
1,inassente ag defkente la recette
1,Ma tghilem ad delqen i tsarutt Tes3am niya
1,###### Hhhhhh tho93am hhhh
1,####### ayghar 3ni ihi dkmini wardia agui hhhhhhhhhh
1,Ayarebbi dhssah akhatar thela nagh olach odnettawara
1,a9lagh daki
1,###### c'est pas une question de logique ni de philosophie c'est des sentiments sans raisons alors yes3a azref uthihemel ara egumathnagh selem 😉
1,izem aghilas notre symbole argaz bothisas 💞💞 wlh ar ayen idenena felas deros za3im ngh awal mayeferit ighedina tidet yesfan tarwa n chohada malheureusement les Kabyles de service rant seg mchomn 😭😭😭
1,UTHETUTH ara d lkheleq arbi wina ☝
1,Un gentil garçon; tes3a zhar tin ath yaghen dmis netfamilt nzah. Ellah ibarek
1,Ahya khayi eth-dheymedhe dhagui 😂😂
1,Karen iwaken adichvah la visage 😂
1,###### azuuuuul agma; thamedithe elhna dhlissar inchaallah merci
1,Ayachhal igejhed ou michto zighen 😳
1,Allah ibarek thachvah mlihh akmiwafak rabi nchallah
1,Atane toura adikmasi souqe telawin mddrrrr 😂🤣
1,Azul fellam demokrane Thamedhiit Lehna delkhir Inchallah fellam
1,Ihi mathamled jidak roh 9sedh ikhamen s lahlal machi dhi fb aradafed
1,###### hhhh sfarh imanik ihi
1,###### 😂😂profite tant que yela ghourem thoura😆ejiyi chit manasagh
1,Amassa aghedvan thafath ourentsayes ara amas ferhath mais en baisse pas les bras vive thimuzgha
1,Déjà I3raven odefighnara youk
1,Dizzem elekvayel en thakvaylithe le chemin est longue mais sûrement
1,Ur yettnuzu ur irehan. Digne descendant de Yugurten.
1,Stawil kan
1,ttaga negh ttaghediwth negh mange tout 
1,Alaaaaa our ligh d wardya our ligh d doudouch akhdhigh a wali
1,Yak nighak yew3ar wattan n wammas ; atan n tughmas ; attan tullas
1,Darebi igsmodone chevaha
1,Widinan aka😮
1,thegheletet aghor d gni nta atha gl9a3a kan hhh
1,Inchallah athifak el vatel afethemouthaki
1,Tura Tmuth nagh ala
1,Thirega le3ali hh
1,mana ittfonksyouni ara 😆😆thughl ar din 😏
1,andaaa yvghuu yiliii lmuhimm atass id yettnelfunn i nezraa u Mazal anzarr
1,Tharwi thebarwi elhijab assidi ejipp la guitare on mode chekchouka thagui
1,yak nighak semhas
1,ilaqas uqeser ithagi
1,a wettemma wagguii yederweche; achu theyughen akka... parle avec lui inass ad yehevess cinéma aggui ness si il arrête pas wellah khass tikherikemm; alla les prblm adarnudhe akka kessithe akkine fellamm vie ta vie aff imanimm
1,Dzair inchlh attehlou
1,Negh d targuith kan i thourdadh a winath Ttafsouth 😑
1,Al3amriw al3amriw debgayet id l3amriw.
1,bravo thanmirth nwan
1,Nagh arebbi walikan kech
1,Ikechmith ddaqdaq ula d wagui😂
1,Awkil nssen dh rebi sobhano
1,Tvark allah amisvad rebi yir thitt tanasslithe
1,kemm waqila imut flam wagi 
1,Rouh periii tes sentiments. Atughaledh Froide Myiiiih uk 
1,Meyyez uqbel aneggez
1,C quoi le bute de dire : snaghth dhi spotted ma d netta Ur dhissin ara 😑😏
1,ur netruz ur nkenu agdud meqar adyarez assalu voila dacu idyura
1,Wellah arya3ya adyechfa3 rebi-tanmirt im idh lahna ttalwit
1,Anarju ? Tura ma t-ssaggam saha mawlač akka kan atadru
1,Yettwargam Saɛdi
1,###### c'est bien ; yass3a zhare ihi waghi 😜😜
1,Imensi i3eddaYouli WesSvahelkhir
1,S3an l7aq
1,Thettvanedh tchebhedh😍😍
1,Ballak ulla dhenak thebwi le3qliw
1,hhhhhhhhhh wlh tkesdiyit seg uqemmouchiw rouhagh atid inigh dgha tezwaredh iyi hhhhhhhhhhh
1,###### ghorek Kan ayahviv !
1,Tevghidh kan at zewjedh
1,Yezmar thudhan messkint
1,Dahvak dahvak 😂😂😂
1,ghadikem lhal fellas hhhhh🤣🤣 loukan d nek tili tewted nah
1,Dhi remdan agui oula widhak adhekfoune hhh nek kfigh personnellement lol
1,Thefamade dire afachou athehaderame
1,Dhachou iknyoughen khenwi slekbayel thesnem hacha l'Euro; franca
1,Win oumi tsouboudough enn3aim yatsboudouyi enkayem ... Koulfaghth i bab eddaim .
1,Win Ur Nesεi Ččfaya Ulayɣer Latkal fellas"
1,Ta3jevdasid i yiweth ghurek kan oul ni 👏
1,Amulli amggaz i yellik. Ad tefegh tsakhedamt tamukrant. Afud igerzen
1,Oulach oughilif 
1,Athlaho alaghliQ alor ilaQ asevdho thmorth
1,Yernakem remdhan a ce point Zal gher leqran tixrikem i l egoïsme et sans sentiemnts mdr Et c po la fin du monde ulach akk l3ebd i dunith a qui na pas de probleme ad frunt akk nchlh
1,Mayela dessah d lkhawa inassen adeghren tamazight
1,Azul felam a weltma Loula Li Sthezemarth imakeli inem; thamdith igarezen inchallah
1,Arwahh marhva achaddh asswadhh
1,Leqvayel d waaraven machi dathmathen attas i3ebant thouyath .
1,Ruh adtzewjed adtthenid
1,###### wagi inek aya hviv negh deymagh a xayi
1,mazl etaq tekhmthim thech3l thfath degs WISN amk imgan wusan Seligh thudnd yir lhlk ni AMDYWI rebbi chefa mazlyi hmlghkm omzlyi sarmagh akmwligh
1,Anfas i wul ad yenchrahhh ; anfiyi ad argugh 
1,###### oui dakvayli ayahviv mais machi obligé felli adiligh avc ferhat lui il est libre moi je suis libre et toi t libre
1,###### tkt pas ihedder thaqvaylith très bien
1,Ttetahetah
1,donc dayen wlach la3qed alama dimanche 😂😂😂 '' svar ayelii donc dayen wlach la3qed alama dimanche 😂😂😂 '' svar ayelii 
1,Tha3tledh athagawth 🙃
1,Aken thelsidh ay theswidh 😕
1,Yajvasan alhal
1,Ahuddu ahunnu
1,D ssendjaq negh adyali dhassawen assa azeka zkara gadhawen
1,Ew3ar lahsav ethifine
1,Aha bezafas meskin ; ostkamilara Méchante va
1,Ad yili rebi yidem courage
1,Taqchicht negh daqchich tura ? 🤔
1,Ttaghrathin thiki?
1,Azul amokrane lah ibarak
1,D lemkhiar bwayen thurew teqvaylit; aqelagh yidek a yaqevayli ahrur; aken yevghu nemkhalaf segenegh ayedefruridh; vive ferhat vive tharwa n teqvaylith anda malan
1,atan ussalway nwen adikchem
1,ithifrass Amek 😿
1,Lante tighwssiwin izwarane adinigh
1,Chokagh yettaki d nidham aki a la3ben felanagh
1,Mdrrrr uzam kečč/kemm deg umur nsen
1,Hemlagh gemma athewthagh hemilghara win athiwethan...
1,Ferhat un homme iguezemren adhekemel anda havssen awk imezwurra pour ça yugh thismin ittvive nathwaghrive par exemple Karim tabou exetera
1,###### azul felam ou la dhkamini . oulach felas thanmir felam atas atas .
1,tixrar ayelli anmslly kn awid k n adfamen
1,###### tas quoi là 🤪🤣lol acu im xedmen a3ni hkuyid zigh lol😜
1,Ixxalxxalan ntaaqbayliyib; tihoriyin
1,D kech ayezwjen nagh d settik h
1,Tanasliw dazamoul ntaqvaylit
1,Ihar dachu ayghann
1,À yirgazen à tifeghwa
1,Azul thanmirth. As amarvouh ayagraw
1,Zik yetsghenni thoura yisawal ichdheh.
1,Dachou khedmate dayiPlastak fel cousina khemi 😂😂😂😂😂😂😄😅
1,Et Thura achu yettnadi wagui assidnini ?
1,Me la rebbi ad ttefraq tmurt
1,Chevrd attas
1,Agleɣ akneṛju
1,Bonne nouvelle saramegh amenek ametwachultiw uthetsεatilara themesalet netlelli nyisvayliyen.r ile MAKabylie
1,Alma ynewer lmalh gzouran
1,Thanmirth thamkrant iworar aki
1,Chevhen mliiih
1,Ulach am ziiith ouzmour 🙄😝
1,Rebbi im d yefkara anectha armi g zra thezmardh as a wethma ...courage et patience ..yettaked rebbi svar d ttawil ..ttef kan deg s jamais akem yedj .Nchallah ad vedlen woussan im s wid zidhen ...ur ttayes ara ...crois moi zman ad idawi koulleche ...koulleche ad ifak ala rebbi ad yeqqimen .et je suis la pour aider en quoi que ce soit tu peux me contacter ❤
1,###### chui pas aussi brillante ! mais au moins ttem3irridhegh ara i wayen wumi zmireghara!
1,Mazal adyali gef tmazga sumata
1,Machado hhhh thagui iqassithid
1,Achu doqi3 zegsen
1,Atkaml aka thi lkhalota alama na3ya mbad kol yiwan athyoughal sakhamis
1,a nevdou ama tevghid a tats l jenas matalan
1,Ma yaghli le9dar ulac dachu dyeqimen ath kemlen et ciao ✌
1,###### il avec les bonne hommes ferhat dargaz a maucran damazigh dinifi
1,Anfas i wul adh yenechrah
1,Anwa wiki......di mazighen
1,Yenaya lounis ait mangelat xas dizuur idan3ada y-edhlith uchabeh n-temz
1,Toutes les relations finissent comme ca machi dajdid asmaken tevdam atevnoum iwaya
1,Daya ikmidisahane
1,rajuth kkan atwalim el Khawa
1,j'imagine que kecci n zikh ; chghel n tehkayth ni "et kecci a jedi ? neki nghaniyi a mi"
1,Atan a rebbi. Atan a nevi aka iwentedra tura
1,Afed amdakel
1,oui dhissah dhizem mais kech dhizem n facebook kan
1,Ma thewaladh akken athafadh imanik quitter
1,####### Amdaghagh amarsso n qarvellouz amdegragh degs tachemu3th Deja c pas la peine yella raqvellouz o resto 😂😂😂
1,Wlh ghass argou awinath 😂
1,###### Azul fellak negh fellam NAK urzrigh ara ma femme negh homme
1,Aka akhir hhh mm nkni qriv unttigzistara
1,Tharvah nagh thekhssar agma thenghayi 
1,Akiharz rebbi nchalah
1,Dunit akka itelha lqum yechthaq araha ar nettazal ur nelhiq
1,Aqyih iwetagh inah ayagour-Nagh 😂
1,dwa iqardayen sghour Messi
1,Nekkni unxedem ara akken
1,L3ibadis a3yan I ramdan agini adfaken oula noutni
1,Meskint thadamt felasss asgass akki hhhhhhh peut etre enceinte
1,Yu3ar Lhoub n elfin u sa3tach
1,Ayen agma interdit la politique ?
1,###### yhozakem commentaire aki waqil 
1,Svah lkhir dhervah alfeta yeweth ouravah à notre belle kabylie et sa population
1,###### atwalid nek😔
1,###### anwa ikhedemen aka
1,Courage adlawan atsegam
1,Ad tched amykes tnkt
1,NEKNI DIMAZIGHEN OYACH WIN GHIZEMREN
1,a ###### ut tsamen ara iskidiv hhhh ak khedmaghe tker
1,Ala ah dhazghal kan aka igkhedem
1,Apre amtstehchu dighen tagi a qui tu va te confier Apre adarnudh un autre spotte apre digh amtihchu wav3adh J pense tfahmed
1,Pisc outhewalat ara amek igekedemen dagi
1,Azul yanghayi laz si tizi ouzou
1,thanmirth samhiyi agma hacha wallah seniyaw ghilagh dhissam natmetouth samhiyi la3nayak agma
1,nsarhiv souvarani akken yvghu yili
1,Anfas i thuzyint atefagh sith kuzint❌Anfas i tuzyint ad d-ffeɣ deg tkuzint
1,###### il avec les bonne hommes ferhat dargaz a maucran damazigh dinifi
1,Lechghal agi tela yiweth la solution. ... zith uzemurMasquer ou signaler ceci
1,aywah mahsub dinevgawan id nussa temurtiw adernugh awal filistin ma3lic ihi lezayar maci ga3ravt 
1,Thikli tmourth thakvaylith arezzath.
1,ahya a cousin af ou3ebbodh kan
1,Ilaq aghdawin amaynouthThigui dayen out3edayent 
1,NN c normale il est jaloux en plus yes3a chek ekssasstt et aussi uthettajara mais tnkt après le mariage asikess je SS sur et certaine juste mnt tu es loin de lui daya sinon normale esvar mathehmlet
1,yew3arr michki deg aylass yevra iwmenough deg ayla n medden yettalass
1,Aha qerved ahlawan azidan
1,Wen ikhedhmen kragh athyaf
1,Bravo Allah yebarek adyawi Rabi lkhir ithmourth ngh N challah
1,Ass igarzen fellam awletma
1,Orila9ara ak akmighadh ce genre là
1,3eslamak a yahviv me3na JE machi j'ai ayahvouv iw
1,Arnuys amane akhali
1,Dhizem oudhrar
1,c'est pas facile oui je comprend mais c'est ainsi la vie courage dieu soit avec toi pour faire face a cette situation attnirhem rebbi nshllh i herz wid idiqimen nshllh
1,Afud igarzen; adrim=argent; je préféré duru!! Tanmirt n wen.
1,Awid ajdid ayizimer tmgharth
1,Oui Aqlagh noughithan akk g zerah agi hhh
1,Anagh rebbi vou libot yessefqagh !!trop craquant Allah ibarek
1,Le 20 avril machi le mak . Le 20 avril imazighen anda malan et khecc machi dhamdhan yevghan thalwith et thmourth nelzair
1,Ahvess thoura anass3ou un peu d'espace puis isshel lhal.. nekni akham zath Wayett ;avrid 1m pas plus .....etc
1,Dhawal l3ali
1,Leqder ameqran i mass asselwayAyizem n tlelli
1,Machiii la39ob awethned d dherimen😂😂😂
1,A3arus ouyezmir ara i ymanis yerna ajeghlal af a3rourisAkka istedra iwagi
1,akmi3uz rebbi ma soeur c gentil mercii
1,THULAS aki s3anet ikhamen
1,Wlh ihar acho oujdhidh adyawi hhhhhh
1,Oylakara. Thiyitha. Athlak. Almofahama
1,Yezi l3aqliw
1,Lol ahlil fellas
1,Azul les kabyles anda ma laine
1,walikan dina ghurwen sligh d l3alikun 😁s teghzi la3mer n setti-k
1,Atethejed attendemed toul lhayatik azeka attess3oud yelik asseyedrou le même cas
1,###### iwumi ur thazmirdhra sudhnith # c'est un proverbe qui concasre l'obéissance et l'opportunisme
1,Hélas odeqimnara watas leqvayel ar idis-is meskine me3na amasa atifrir tagut itij adijvu nurris
1,Bienvenue a lui la kabylie est en manque de repère izemran negh lahun yakw d-uccanen
1,Lahna assirem 👻
1,r weqvu ardyali wass
1,Thanmerth iwidhakh iqadchen ithurth thaqvaylith lwahidh tsudharth tsughzi laεma
1,Zehar amkhuss 😫
1,Oulach dhachou aradyernou wemdhan
1,Alah ibark adihjeve wagor makidiwali
1,Le goût chocolat nagh vanille ? Yew3ar laz 
1,Awnidyefekk rebbii svarr d la3qell ouliyiii dam3iwen nwen inchallahh ouyefkawniidd ttawiill lkhiirr ikounwi ilmoumniin marraa inchallah
1,Ur tfaq ara kan i Fb c t
1,TEFKAM AXESSAR
1,Anagh alpich😑thghadhiyi chwiya😟
1,Thakwa thite arghourek hadhrith a yemasse
1,Choum adyamat wamchom
1,acou ara ougaden widakh agui siwa awal aked les drapeaux daya aked wordhan
1,Widhak. Ikhadhman. Aka. Ousinara dhimachtah. Ouyoukirara. 
1,asidi Aweddi txedmitt il3emris debbeg elle assumeLa jalousie agi INES danger 😂
1,Nchlh isswi nkent adyawedh alevghi Nagh .
1,Lbatel tmurt agi iwitid s-tadhssa 👍👍
1,machi d kemm i tteyqmren s la robe a 
1,ayithmathan ikhosiyi adrapo na lmak stp
1,Iwachou rgoumath nrabi. Astaghfirllah
1,Khedmas zith ak yekes
1,l'admin de cette page; t'inquiète pas Ferhat yerwa taḍsa deg-sen. Yak d netta i d-yennan " leḥbus ur aɣ-zmiren ara "
1,anfas a youliw attkhdem aken is yehwa hhhh
1,thanmirth akmi3ouz rebi awlatma akheir adhlahna dhalfarh dhesseha ifazen tsaghzi la3mar anchalah
1,Aya qvayli itjan agmas yeghli aya qvayli ireffaden averani
1,A9laghe anda ikeyihwa
1,Ci t'a une maman ya pas mieux qu'elle ci nn sars imanik. Nettwakhda3 akk yerna widakken ounenwara adek degsen.😞
1,Aken a yizem
1,awdi d nekk id walaaaan😈😂😂😂 ur ttagadeth
1,Ahahaha slighass inetked wahmagh ahaha ligh tsoughth ak
1,thandemith thagara
1,Psyco Achouqiweeee 💓💓
1,Bah me c se me exacte ur zrigh hamza anda yanza hhhhhh
1,.######  tikhrik i bakar oufighakid yiweth
1,Hemdoulah midoukidh
1,Ach hal aya atsradjou anchthagui
1,AzuuuuuuuuuuuuulAss lahna talwit
1,Mutagh si tedsa 😂😂
1,Yevlayi rebbi sel 
1,Wellah ar thes3idh lhaq à weltma
1,A ttiziri dyedhwan ihi
1,###### qarnas win ivghan chvah udyeqar ahh 😂😂😁
1,gim ulach win tejinid
1,Ivan akihina ara methedhrou
1,Awaa theghleq toura koulech ixsi
1,Thichichewine
1,###### Hhhh asfadh dkami thagi hh
1,####### 🤣🤣🤣 Nek Ovghigh ara ayidyaf kem takchefdhiyid
1,Thagui threwlassid i rebi af 12 guidh hh
1,Azul s Takritez a ljiran
1,Meskinte tepoupis athirham Rabii nchalah
1,Yella yiwen le3mer tid'uddren iruh yessemsex tala.
1,Thumnem
1,Amethedyar rabi delkher
1,daqa adssough mi ashedra af assa wasessersa am a
1,Doukhaghe snagh yissinara dina ithessnagh
1,azul falk aymzigh ci dra3 el miza swdyi slm yak iymzighen dina
1,###### yak nighak dadarwich kech
1,Delfarhik timssal ayi
1,YALWACHOUL NAGHE ELDZAIR TAMOURTH NAGHE
1,Ila3nayam qim uttrohara
1,iḍet ma ṭεeda alhadiss- ad' seεu lbatel ḍemiss.trop de justice sa enjendre la haine. Et la haine accroître la violence
1,Nemkhalaf di l3eqliya di lebssa di lhedra nemkhalaf anssi Id nekka Timunent i tmurt taqvaylit ✌
1,Wayagh kan Dragée nni luzaagh nezfagh😵
1,Wabababa Thwe3redh ah 😂
1,a rebbi dawi negh awi
1,Koulech idda
1,Alla ah qim kan athinathh akham sakhamiimm
1,Adirham rabi imjuhad
1,CV hmdlh merci akelagh akn ivgha rebi kan
1,Chof asidi tombola c yessis medden a zebda ahhh Sorry a zenda😂🤣😂🤣yesrghik yetij n hsnw Ivan fellak 🤳
1,Walah mawfigh dhashou aradinigh adhitaf rabi igugarn aya
1,Akyaafou rabi à yamazigh ahori
1,##### Allah ye barek Thanmirthik Agma
1,I win adidegren imanis si 6eme étage adimeth negh amek asthedru en sachant que arzigh remdan 😶
1,###### Hhh mm nki tora athesouprimigh koulch ami disparigh
1,mdrrr 😂 ouzmirghara assewlagh imouth va9i atskhedmagh
1,d remdan khezou chitan ayahviv
1,kol mad3algh kra aysini slil ifassnim qval s savon 😏
1,Courage adlawan atsegam
1,Je sais amek ithettkhimimem atejim 4 ans agi adruhen deg ipas astenid us3id dacu igellan nrml puisk themlett atkhidmed kulech fellas
1,thwaladh ahebou nettath ma 3labalhach bina nekni nehres imanenegh 
1,Ur s3igh ur thettadjagh ... yarthah l3evd 🤚
1,Amekh adhesemhagh gel pétrole et le gaz Kan Aka 
1,wissen ma attili 
1,tindemith ar thagara aken se9aren
1,Tanmirt. Tidet qarriḥen maca kra n leqmayel εuzgen ur sellen dreɣlen ur ttwalin
1,Aygher usthenidara imaar face à face 🤔
1,Tgarrez
1,Ad Fell-asen talwit.
1,Yella lmatch n chelsea assagi tikhriken i leqraya
1,Mrc; mais vghigh style kabyle
1,Awah nekni i Alger cheghlen dhukali tahdhayin machi dhabukini
1,Azul dassemadh felame akhare yehma elhale
1,Pour ceux qui se moque d elle awendyefk rrbbi akter is atjervrm akmichfo rrbbi nchlh
1,Athnirhem rebbi y ssber imawlan-nsen
1,Nechallah ad ughalent bexir
1,Ce n'est pas nouveau 🙄🙄 ; ad yesdoum rebbi tha3eddawith garanagh ; awer charkagh tharvouth d wa3rav et surtout vive ma kabylie ; vive JSK 💚💛
1,tharwla themna vavis
1,mayala yavghayas là bien adhiroh arghoras asyini Bali Ayen akhadmath Aka ikhous iwalmara.waki dharayiw Kan smahethiyi
1,thagui balak ahya à niya
1,InchaAllah Azzeka ulac l’wifi di Tasdawit
1,thamourth atkhedmen warawisse
1,At qar3ijagh hhh
1,Hhhhhh yelis ###### nagh thamechtohth un autre modèle hhhhh
1,inwawigen imazigen
1,Lokn ittidxedhvedh si zik thili machi aka medjedh nagh qim thura 😏
1,tes3id lhaq ya3ni
1,khilla iyikhdem
1,###### Hhh prcq out3limtara
1,Zik ayahviv; 
1,thanmirt tamekrant
1,Dgha mii tekfidhh tella yellis n Heddad chui sûre att msefhamem s le français😒
1,###### ibark fik thanmirth ayhbib
1,Oh my rebbi. What is this chekchuka . T'es sûr que ur kighliv ara remdan assa !!!! Elmuhim vive jsk
1,aklagh deljiran ihi azul fellak ghurrnegh ar beni mansour
1,###### ayghar aka ayghar achou tsikhoussen
1,Sew lhaja qvel atruhedh negh lhaj chafou3a tqeruthim atapouhloust ghurem sakham direct ghirem sani tettaradh
1,Ah yadunith melghrur ibooça win kemyumnan 
1,Fkaalakhir aya akbou
1,D zehou i ten yebin ayahviv Oulach mature ni immatureLes zomme outtwalin ara Akka
1,Tome ihi la3mar iuk yelssa levssa asskamel 3aryane ma yroh are levhar itlossu un slips
1,A din lmahna lejnass ouk tehleben di la drague ala les algerien spot dfir wayed en plus da claché ma yla teqvlit telha ma tenayasd xati aasisexsar awal ayen ani machi d tarwiht ani tigui
1,Yerna c'est des universitaires A rebbi jem3iyin urgent
1,Akemeyahraz Yellu à yellisss gargazenne
